,S_NO,SESSION,SEX,DOB,STATE,HALL,SPONSOR,MOE,TOT UNITS REG,TOT UNITS PASSED,UNIT NOT IN,FAC REQ,DEPT REQ,TOTAL WGP,CGPA,CLASS OF DEG,CLASS LABEL
50,51,2013/14,M,1993-05-30,OYO,KUTI,PARENTS,UME,166,166,0,Yes,Yes,804,4.8,21,2ND CLASS UPPER
51,52,2013/14,M,1987-07-07,OGUN,INDY-STATE,PARENT,UME,185,102,0,No,No,296,0.0,0,FNG
52,53,2013/14,M,1993-07-08,EKITI,TEDDER,PARENTS,UME,166,166,0,Yes,Yes,864,5.2,21,2ND CLASS UPPER
53,54,2013/14,M,1993-02-05,OYO,INDEPENDEN,PARENTS,UME,169,163,0,Yes,Yes,884,5.2,21,2ND CLASS UPPER
54,55,2013/14,F,1993-12-26,OYO,AWO,PARENT,UME,166,166,0,Yes,Yes,914,5.5,21,2ND CLASS UPPER
55,56,2013/14,F,1989-02-07,OGUN,IDIA,PARENTS,UME,179,156,0,Yes,Yes,490,2.7,22,2ND CLASS LOWER
56,57,2013/14,M,1992-10-30,LAGOS,INDY,PARENT,UME,172,145,0,Yes,Yes,452,2.6,22,2ND CLASS LOWER
57,58,2013/14,M,1980-04-21,CROSSRIVER,ZIK,PARENT,UME,170,166,0,Yes,Yes,701,4.1,22,2ND CLASS LOWER
58,59,2013/14,F,1993-11-11,OSUN,QUEENS,PARENTS,UME,166,163,0,Yes,Yes,858,5.2,21,2ND CLASS UPPER
59,60,2013/14,F,1992-01-19,OYO,IDIA,PARENTS,UME,172,157,0,Yes,Yes,540,3.1,22,2ND CLASS LOWER
60,61,2013/14,M,1991-11-29,KOGI,TEDDER,PARENT,UME,196,108,0,No,No,311,0.0,0,FNG
61,62,2013/14,M,1990-06-13,EDO,KUTI,PARENT,UME,172,156,0,Yes,Yes,580,3.4,22,2ND CLASS LOWER
62,63,2013/14,F,1994-06-28,OGUN,QUEEN,PARENT,UME,184,149,0,Yes,Yes,524,2.8,22,2ND CLASS LOWER
63,64,2013/14,M,1992-02-15,OYO,ZIK,PARENT,UME,204,107,0,No,No,336,0.0,0,FNG
64,65,2013/14,M,1993-03-28,DELTA,ZIK,PARENT,UME,170,170,0,Yes,Yes,927,5.5,21,2ND CLASS UPPER
65,66,2013/14,F,1992-06-09,ANAMBRA,AWO,PARENT,UME,172,163,0,Yes,Yes,784,4.6,21,2ND CLASS UPPER
66,67,2013/14,M,1996-12-19,OYO,OFF-CAMPUS,PARENT,UME,166,166,0,Yes,Yes,991,6.0,1st,FIRST CLASS
67,68,2013/14,F,1996-12-19,OYO,IDIA,PARENTS,DE,134,128,0,Yes,Yes,657,4.9,21,2ND CLASS UPPER
68,69,2013/14,M,1995-03-26,EKITI,KUTI,PARENTS,DE,132,132,0,Yes,Yes,742,5.6,21,2ND CLASS UPPER
69,70,2013/14,M,1985-05-08,OYO,KUTI,PARENTS,DE,135,129,0,Yes,Yes,471,3.5,22,2ND CLASS LOWER
70,71,2013/14,F,1987-09-07,OSUN,AWO,PARENTS,DE,131,99,0,Yes,No,280,0.0,0,FNG
71,72,2013/14,M,1987-02-24,OGUN,TEDDER,PARENTS,DE,132,132,0,Yes,Yes,645,4.9,21,2ND CLASS UPPER
72,73,2013/14,M,1986-09-21,KOGI,ZIK,PARENTS,DE,133,129,0,Yes,Yes,571,4.3,22,2ND CLASS LOWER
73,74,2013/14,M,1987-07-18,EKITI,TEDDER,PARENTS,DE,132,132,0,Yes,Yes,800,6.1,1st,FIRST CLASS
74,75,2013/14,F,1992-07-17,OYO,AWO,PARENTS,DE,132,132,0,Yes,Yes,687,5.2,21,2ND CLASS UPPER
75,76,2013/14,M,1983-08-26,LAGOS,IND,PARENTS,DE,132,132,0,Yes,Yes,786,6.0,1st,FIRST CLASS
76,77,2013/14,F,1990-12-25,KWARA,AWO,PARENTS,DE,132,132,0,Yes,Yes,601,4.6,21,2ND CLASS UPPER
77,78,2014/15,F,1986-11-23,OGUN,OFF-CAMPUS,PARENT,DE,137,117,0,Yes, Yes,300,2.2,3rd,3RD CLASS
78,79,2014/15,M,1991-10-05,OSUN,OFF-CAMPUS,PARENT,UME,241,120,0,Yes,No,363,0.0,0,FNG
79,80,2014/15,M,1992-02-04,LAGOS,OFF-CAMPUS,PARENT,UME,206,128,0,Yes, Yes,336,1.6,3rd,3RD CLASS
80,81,2014/15,M,1996-12-19,OYO,OFF-CAMPUS,PARENTS,UME,198,138,0,Yes, No,446,0.0,0,FNG
81,82,2014/15,M,1994-03-06,ONDO,OFF-CAMPUS,PARENT,UME,196,142,0,Yes, Yes,425,2.2,3rd,3RD CLASS
82,83,2014/15,M,1996-12-19,OYO,OFF-CAMPUS,PARENT,UME,204,139,0,Yes, No,466,0.0,0,FNG
83,84,2014/15,M,1994-09-17,IMO,OFF-CAMPUS,PARENT,TRA,164,164,0,Yes,Yes,880,5.4,21,2ND CLASS UPPER
84,85,2014/15,M,1987-07-07,OGUN,OFF-CAMPUS,PARENT,UME,223,136,0,Yes, Yes,358,1.6,3rd,3RD CLASS
85,86,2014/15,M,1996-12-19,KOGI,OFF-CAMPUS,PARENTS,UME,171,171,0,Yes,Yes,885,5.2,21,2ND CLASS UPPER
86,87,2014/15,M,1991-11-29,KOGI,OFF-CAMPUS,PARENT,UME,242,123,0,Yes,No,338,0.0,0,FNG
87,88,2014/15,M,1992-02-15,OYO,OFF-CAMPUS,PARENT,UME,236,118,5,No,No,347,0.0,0,FNG
88,89,2014/15,M,1991-08-15,OSUN,OFF-CAMPUS,PARENTS,UME,174,168,0,Yes, Yes,772,4.4,22,2ND CLASS LOWER
89,90,2014/15,M,1993-12-31,OGUN,OFF-CAMPUS,PARENTS,UME,174,167,0,Yes, Yes,589,3.4,22,2ND CLASS LOWER
90,91,2014/15,F,1993-10-25,OSUN,OFF-CAMPUS,PARENTS,UME,171,171,0,Yes, Yes,956,5.6,21,2ND CLASS UPPER
91,92,2014/15,M,1994-10-26,EKITI,OFF-CAMPUS,PARENTS,UME,177,162,0,Yes, Yes,538,3.0,22,2ND CLASS LOWER
92,93,2014/15,M,1994-10-02,OSUN,OFF-CAMPUS,PARENT,UME,192,101,0,No, No,238,0.0,0,FNG
93,94,2014/15,M,1992-07-06,OYO,OFF-CAMPUS,PARENTS,UME,195,86,9,No, No,200,0.0,0,FNG
94,95,2014/15,F,1996-10-09,OGUN,OFF-CAMPUS,PARENT,DE,135,135,0,Yes, Yes,562,4.2,22,2ND CLASS LOWER
95,96,2014/15,F,1993-01-27,OSUN,OFF-CAMPUS,PARENTS,UME,171,168,0,Yes, Yes,636,3.7,22,2ND CLASS LOWER
96,97,2014/15,F,1996-12-19,OYO,OFF-CAMPUS,PARENTS,UME,162,133,3,Yes,No,492,0.0,0,FNG
97,98,2014/15,M,1994-07-10,OSUN,OFF-CAMPUS,PARENTS,UME,188,145,0,Yes,No,427,0.0,0,FNG
98,99,2014/15,M,1995-06-02,OSUN,OFF-CAMPUS,PARENTS,UME,189,119,7,No, No,397,0.0,0,FNG
99,100,2014/15,F,1994-01-31,OSUN,OFF-CAMPUS,PARENTS,UME,171,171,0,Yes, Yes,793,4.6,21,2ND CLASS UPPER
100,101,2014/15,M,1994-03-05,LAGOS,OFF-CAMPUS,PARENTS,UME,185,156,0,Yes, Yes,503,2.7,22,2ND CLASS LOWER
101,102,2014/15,M,1994-11-05,OYO,OFF-CAMPUS,PARENTS,UME,174,174,0,Yes, Yes,975,5.6,21,2ND CLASS UPPER
102,103,2014/15,F,1996-12-19,OYO,OFF-CAMPUS,PARENTS,UME,171,171,0,Yes, Yes,905,5.3,21,2ND CLASS UPPER
103,104,2014/15,M,1995-06-23,OGUN,OFF-CAMPUS,PARENTS,UME,174,167,0,Yes, Yes,751,4.3,22,2ND CLASS LOWER
104,105,2014/15,M,1995-10-24,OYO,OFF-CAMPUS,PARENTS,UME,174,174,0,Yes, Yes,647,3.7,22,2ND CLASS LOWER
105,106,2014/15,F,1987-09-07,OSUN,OFF-CAMPUS,PARENTS,DE,156,124,0,Yes, Yes,367,2.4,3rd,3RD CLASS
106,107,2014/15,M,1996-12-19,OYO,OFF-CAMPUS,PARENT,UME,174,151,0,Yes, Yes,513,2.9,22,2ND CLASS LOWER
107,108,2014/15,F,1994-04-13,OYO,OFF-CAMPUS,PARENTS,UME,179,163,0,Yes, Yes,579,3.2,22,2ND CLASS LOWER
108,109,2014/15,M,1995-10-02,OYO,OFF-CAMPUS,PARENT,UME,199,150,4,Yes,No,500,0.0,0,FNG
109,110,2014/15,M,1991-10-13,ONDO,OFF-CAMPUS,PARENTS,UME,174,171,0,Yes, Yes,716,4.1,22,2ND CLASS LOWER
110,111,2014/15,M,1994-07-27,ABIA,OFF-CAMPUS,PARENT,UME,166,100,8,No,No,378,0.0,0,FNG
111,112,2014/15,F,1995-05-30,EKITI,OFF-CAMPUS,PARENTS,UME,175,175,0,Yes, Yes,800,4.6,21,2ND CLASS UPPER
112,113,2014/15,M,1995-07-23,ANAMBRA,OFF-CAMPUS,PARENTS,UME,174,174,0,Yes, Yes,955,5.5,21,2ND CLASS UPPER
113,114,2014/15,M,1993-06-16,EDO,OFF-CAMPUS,PARENTS,UME,182,142,3,Yes, Yes,435,0.0,0,FNG
114,115,2014/15,M,1995-10-09,CROSS,OFF-CAMPUS,PARENTS,UME,174,167,0,Yes, Yes,796,4.6,21,2ND CLASS UPPER
115,116,2014/15,F,1996-12-19,EDO,OFF-CAMPUS,PARENTS,UME,197,134,0,Yes,No,377,0.0,0,FNG
116,117,2014/15,M,1994-03-02,OGUN,OFF-CAMPUS,PARENTS,UME,168,165,0,Yes, Yes,790,4.7,21,2ND CLASS UPPER
117,118,2014/15,F,1995-06-11,EKITI,OFF-CAMPUS,PARENTS,UME,174,174,0,Yes, Yes,974,5.6,21,2ND CLASS UPPER
118,119,2014/15,F,1993-08-11,IMO,OFF-CAMPUS,PARENTS,UME,174,174,0,Yes, Yes,994,5.7,21,2ND CLASS UPPER
119,120,2014/15,F,1995-08-07,OYO,OFF-CAMPUS,PARENTS,UME,174,174,0,Yes, Yes,878,5.0,21,2ND CLASS UPPER
120,121,2014/15,M,1996-12-19,OYO,OFF-CAMPUS,PARENTS,UME,171,164,0,Yes, Yes,698,4.1,22,2ND CLASS LOWER
121,122,2014/15,F,1994-06-04,KWARA,OFF-CAMPUS,PARENTS,UME,174,174,0,Yes, Yes,819,4.7,21,2ND CLASS UPPER
122,123,2014/15,F,1993-12-14,IMO,OFF-CAMPUS,PARENTS,UME,171,171,0,Yes, Yes,1032,6.0,1st,FIRST CLASS
123,124,2014/15,M,1994-05-23,ENUGU,OFF-CAMPUS,PARENTS,UME,171,167,0,Yes, Yes,736,4.3,22,2ND CLASS LOWER
124,125,2014/15,F,1994-05-17,IMO,OFF-CAMPUS,PARENTS,UME,174,174,0,Yes, Yes,1066,6.1,1st,FIRST CLASS
125,126,2014/15,M,1993-12-28,ONDO,OFF-CAMPUS,PARENTS,UME,179,97,8,No, No,242,0.0,0,FNG
126,127,2014/15,F,1993-05-05,EDO,OFF-CAMPUS,PARENTS,UME,171,167,0,Yes, Yes,744,4.4,22,2ND CLASS LOWER
127,128,2014/15,M,1993-11-10,OYO,OFF-CAMPUS,PARENTS,UME,121,82,2,No, No,226,0.0,0,FNG
128,129,2014/15,M,1995-06-12,OYO,OFF-CAMPUS,PARENTS,UME,185,158,3,Yes,No,463,0.0,0,FNG
129,130,2014/15,M,1995-04-27,ONDO,OFF-CAMPUS,PARENTS,UME,174,162,3,Yes,Yes,579,0.0,0,FNG
130,131,2014/15,M,1995-11-01,OGUN,OFF-CAMPUS,PARENTS,UME,174,162,0,Yes,Yes,626,3.6,22,2ND CLASS LOWER
131,132,2014/15,M,1993-05-15,ENUGU,OFF-CAMPUS,PARENTS,UME,181,170,0,Yes,Yes,674,3.7,22,2ND CLASS LOWER
132,133,2014/15,F,1996-12-19,OYO,OFF-CAMPUS,PARENTS,UME,174,174,0,Yes, Yes,1017,5.8,21,2ND CLASS UPPER
133,134,2014/15,M,1996-12-19,OYO,OFF-CAMPUS,PARENTS,UME,171,159,0,Yes, Yes,670,3.9,22,2ND CLASS LOWER
134,135,2014/15,M,1994-05-17,EKITI,OFF-CAMPUS,PARENTS,UME,171,171,0,Yes,Yes,790,4.6,21,2ND CLASS UPPER
135,136,2014/15,M,1994-09-30,OGUN,OFF-CAMPUS,PARENTS,UME,174,174,0,Yes,Yes,1011,5.8,21,2ND CLASS UPPER
136,137,2014/15,M,1994-08-31,OSUN,OFF-CAMPUS,PARENTS,UME,171,171,0,Yes,Yes,1051,6.1,1st,FIRST CLASS
137,138,2014/15,M,1992-09-24,EDO,OFF-CAMPUS,PARENTS,UME,171,171,0,Yes,Yes,1061,6.2,1st,FIRST CLASS
138,139,2014/15,M,1995-05-15,OSUN,OFF-CAMPUS,PARENTS,UME,181,146,4,Yes, Yes,522,3.0,22,2ND CLASS LOWER
139,140,2014/15,M,1996-12-19,OYO,OFF-CAMPUS,PARENTS,UME,196,133,0,Yes, No,371,0.0,0,FNG
140,141,2014/15,M,1995-07-09,OSUN,OFF-CAMPUS,PARENTS,UME,171,163,0,Yes,Yes,673,3.9,22,2ND CLASS LOWER
141,142,2014/15,M,1995-01-27,OGUN,OFF-CAMPUS,PARENTS,UME,174,174,0,Yes,Yes,744,4.3,22,2ND CLASS LOWER
142,143,2014/15,M,1994-03-03,IMO,OFF-CAMPUS,PARENTS,UME,180,144,0,Yes, Yes,399,2.2,3rd,3RD CLASS
143,144,2014/15,M,1993-10-04,KADUNA,OFF-CAMPUS,PARENTS,UME,183,179,0,Yes, Yes,821,4.5,22,2ND CLASS UPPER
144,145,2014/15,M,1995-10-31,EDO,OFF-CAMPUS,PARENTS,UME,174,170,0,Yes,Yes,800,4.6,21,2ND CLASS UPPER
145,146,2014/15,M,1995-02-10,KOGI,OFF-CAMPUS,PARENTS,UME,168,160,0,Yes,Yes,622,3.7,22,2ND CLASS LOWER
146,147,2014/15,M,1970-12-05,OGUN,OFF-CAMPUS,PARENTS,UME,134,81,4,No,No,279,0.0,0,FNG
147,148,2014/15,F,1993-05-08,OYO,OFF-CAMPUS,PARENT,UME,174,174,0,Yes,Yes,871,5.0,21,2ND CLASS UPPER
148,149,2014/15,M,1992-05-25,OSUN,OFF-CAMPUS,PARENT,DE,135,124,0,Yes,Yes,461,3.4,22,2ND CLASS LOWER
149,150,2014/15,F,1987-04-09,OSUN,OFF-CAMPUS,PARENT,DE,135,135,0,Yes,Yes,723,5.4,21,2ND CLASS UPPER
150,151,2014/15,M,1981-08-20,OYO,OFF-CAMPUS,PARENT,DE,135,125,0,Yes, Yes,352,2.6,22,2ND CLASS LOWER
151,152,2014/15,F,1992-09-01,OYO,OFF-CAMPUS,PARENT,DE,135,135,0,Yes, Yes,628,4.7,21,2ND CLASS UPPER
152,153,2014/15,M,1989-08-04,ONDO,OFF-CAMPUS,PARENT,DE,135,135,0,Yes, Yes,807,6.0,1st,FIRST CLASS
153,154,2014/15,F,1990-03-09,LAGOS,OFF-CAMPUS,PARENT,DE,129,125,0,Yes, Yes,481,3.7,22,2ND CLASS LOWER
154,155,2014/15,M,1985-02-17,EBONYI,OFF-CAMPUS,PARENT,DE,141,118,0,Yes, Yes,336,2.4,3rd,3RD CLASS
155,156,2014/15,F,1987-11-06,ONDO,OFF-CAMPUS,PARENT,DE,135,128,0,Yes,No,478,3.5,22,2ND CLASS LOWER
156,157,2014/15,F,1991-11-18,EKITI,OFF-CAMPUS,PARENT,DE,132,125,0,Yes, Yes,399,3.0,22,2ND CLASS LOWER
157,158,2014/15,F,1992-05-28,OYO,OFF-CAMPUS,PARENT,DE,135,135,0,Yes, Yes,704,5.2,21,2ND CLASS UPPER
158,159,2014/15,F,1989-04-05,OGUN,OFF-CAMPUS,PARENT,DE,132,128,0,Yes, Yes,661,5.0,21,2ND CLASS UPPER
159,160,2014/15,M,1990-07-27,OYO,OFF-CAMPUS,PARENT,DE,138,121,0,Yes, Yes,382,2.8,22,2ND CLASS LOWER
160,161,2014/15,F,1987-05-20,ABIA,OFF-CAMPUS,PARENT,DE,135,135,0,Yes, Yes,616,4.6,21,2ND CLASS UPPER
161,162,2014/15,M,1988-11-06,LAGOS,OFF-CAMPUS,PARENT,DE,135,131,0,Yes, Yes,526,3.9,22,2ND CLASS LOWER
162,163,2014/15,F,1990-12-18,ONDO,OFF-CAMPUS,PARENT,DE,135,135,0,Yes, Yes,652,4.8,21,2ND CLASS UPPER
163,164,2014/15,F,1993-05-18,OGUN,OFF-CAMPUS,PARENT,DE,135,135,0,Yes, Yes,666,4.9,21,2ND CLASS UPPER
164,165,2014/15,F,1988-10-27,ONDO,OFF-CAMPUS,PARENT,DE,135,127,0,Yes, Yes,543,4.0,22,2ND CLASS LOWER
165,166,2014/15,F,1992-08-04,EDO,OFF-CAMPUS,PARENT,DE,135,135,0,Yes, Yes,751,5.6,21,2ND CLASS UPPER
166,167,2014/15,F,1987-07-25,ANAMBRA,OFF-CAMPUS,PARENT,DE,135,125,0,Yes, Yes,514,3.8,22,2ND CLASS LOWER
167,168,2014/15,M,1990-06-19,OYO,OFF-CAMPUS,PARENT,DE,135,135,0,Yes,Yes,670,5.0,21,2ND CLASS UPPER
168,169,2014/15,M,1989-08-22,LAGOS,OFF-CAMPUS,PARENT,DE,135,131,0,Yes,Yes,502,3.7,22,2ND CLASS LOWER
169,170,2014/15,M,1990-06-21,OGUN,OFF-CAMPUS,PARENT,DE,135,127,0,Yes,Yes,510,3.8,22,2ND CLASS LOWER
170,171,2014/15,M,1994-02-05,OYO,OFF-CAMPUS,PARENT,DE,135,132,0,Yes,Yes,525,3.9,22,2ND CLASS LOWER
171,172,2014/15,M,1992-06-24,OGUN,OFF-CAMPUS,PARENT,DE,135,135,0,Yes,Yes,727,5.4,21,2ND CLASS UPPER
172,173,2014/15,M,1992-04-04,LAGOS,OFF-CAMPUS,PARENT,DE,135,135,0,Yes,Yes,745,5.5,21,2ND CLASS UPPER
173,174,2014/15,F,1995-01-03,OYO,OFF-CAMPUS,PARENT,DE,135,135,0,Yes, Yes,613,4.5,22,2ND CLASS UPPER
174,175,2014/15,M,1989-03-07,ENUGU,OFF-CAMPUS,PARENT,DE,126,122,0,Yes, Yes,542,4.3,22,2ND CLASS LOWER
175,176,2014/15,M,1985-08-29,OYO,OFF-CAMPUS,PARENT,DE,135,121,0,Yes,Yes,376,2.8,22,2ND CLASS LOWER
176,177,2014/15,M,1991-06-19,OSUN,OFF-CAMPUS,PARENT,DE,135,127,0,Yes,Yes,609,4.5,22,2ND CLASS UPPER
177,178,2014/15,F,1992-02-22,OGUN,OFF-CAMPUS,PARENT,DE,135,131,0,Yes,Yes,680,5.0,21,2ND CLASS UPPER
178,179,2014/15,M,1991-05-06,OGUN,OFF-CAMPUS,PARENT,DE,135,131,0,Yes,Yes,465,3.4,22,2ND CLASS LOWER
179,180,2014/15,M,1993-06-03,OYO,OFF-CAMPUS,PARENT,DE,141,114,0,Yes,Yes,316,2.2,3rd,3RD CLASS
180,181,2014/15,M,1996-12-19,ANAMBRA,OFF-CAMPUS,PARENT,DE,135,135,0,Yes,Yes,703,5.2,21,2ND CLASS UPPER
181,182,2014/15,M,1995-05-05,OYO,OFF-CAMPUS,PARENT,DE,143,139,0,Yes,Yes,528,3.7,22,2ND CLASS LOWER
182,183,2014/15,F,1989-06-17,OSUN,OFF-CAMPUS,PARENT,DE,140,120,0,Yes,Yes,358,2.6,22,2ND CLASS LOWER
183,184,2015/16,M,1991-10-05,OSUN,INDEPEND,PARENT,UME,257,126,0,Yes,No,372,0.0,0,FNG
184,185,2015/16,M,1996-12-19,ANAMBRA,OFF-CAMPUS,PARENT,UME,208,147,0,Yes,No,474,0.0,0,FNG
185,186,2015/16,M,1994-01-10,LAGOS,MELLAMBY,PARENTS,UME,209,112,0,No,No,328,0.0,0,FNG
186,187,2015/16,M,1991-11-29,KOGI,TEDDER,PARENT,UME,264,133,0,Yes,No,354,0.0,0,FNG
187,188,2015/16,M,1992-02-15,OYO,ZIK,PARENT,UME,254,127,0,Yes,No,374,0.0,0,FNG
188,189,2015/16,M,1994-10-02,OSUN,OFF-CAMPUS,PARENT,UME,230,149,0,Yes,Yes,362,1.6,3rd,3RD CLASS
189,190,2015/16,M,1992-07-06,OYO,OFF-CAMPUS,PARENTS,UME,230,93,0,No,No,208,0.0,0,FNG
190,191,2015/16,M,1994-07-10,OSUN,OFF-CAMPUS,PARENTS,UME,228,185,0,Yes,Yes,549,2.4,3rd,3RD CLASS
